id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,gene,cell
"RP11-347C12.2_T cell, CD4, TH2",Wald_ratio,1,0.107641302,0.03831891,NA,NA,0.004968162,NA,NA,NA,NA,NA,NA,NA,0.032536238,0.182746366,1.113648211,1.033071329,1.20050988,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-347C12.2,"T cell, CD4, TH2"
"RP11-347C12.1_T cell, CD4, TH17",Wald_ratio,1,0.11797233,0.041996622,NA,NA,0.004968162,NA,NA,NA,NA,NA,NA,NA,0.03565895,0.20028571,1.125212977,1.036302356,1.221751775,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-347C12.1,"T cell, CD4, TH17"
"CASP3_T cell, CD8, naive activated",Wald_ratio,1,0.151610281,0.055450057,NA,NA,0.006253638,NA,NA,NA,NA,NA,NA,NA,0.04292817,0.260292392,1.16370663,1.043862912,1.297309355,0.488903877,Bladder cancer,finn-b-C3_BLADDER,CASP3,"T cell, CD8, naive activated"
"GBP3_T cell, CD4, TH1 TH17",Wald_ratio,1,0.12440832,0.049449364,NA,NA,0.011873795,NA,NA,NA,NA,NA,NA,NA,0.027487567,0.221329072,1.13247819,1.027868835,1.247733958,0.610704801,Bladder cancer,finn-b-C3_BLADDER,GBP3,"T cell, CD4, TH1 TH17"
"GBP3_T cell, CD4, TH17",Wald_ratio,1,0.123463265,0.049073727,NA,NA,0.011873795,NA,NA,NA,NA,NA,NA,NA,0.027278761,0.21964777,1.131408442,1.027654232,1.245637902,0.610704801,Bladder cancer,finn-b-C3_BLADDER,GBP3,"T cell, CD4, TH17"
"GBP3_T cell, CD4, TH2",Wald_ratio,1,0.130639583,0.051926143,NA,NA,0.011873795,NA,NA,NA,NA,NA,NA,NA,0.028864342,0.232414824,1.139556992,1.029284954,1.261642981,0.610704801,Bladder cancer,finn-b-C3_BLADDER,GBP3,"T cell, CD4, TH2"
"MXRA7_Monocyte, non-classical",Wald_ratio,1,-0.168456892,0.052619454,NA,NA,0.001367528,NA,NA,NA,NA,NA,NA,NA,-0.271591022,-0.065322761,0.844967688,0.762165906,0.936765063,0.366711887,Bladder cancer,finn-b-C3_BLADDER,MXRA7,"Monocyte, non-classical"
"MXRA7_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.156711728,0.048950717,NA,NA,0.001367528,NA,NA,NA,NA,NA,NA,NA,-0.252655134,-0.060768323,0.854950481,0.776735706,0.941041232,0.366711887,Bladder cancer,finn-b-C3_BLADDER,MXRA7,"T cell, CD4, TH1 TH17"
"LHX4_Monocyte, non-classical",Wald_ratio,1,0.24840057,0.114978647,NA,NA,0.030741246,NA,NA,NA,NA,NA,NA,NA,0.023042421,0.473758719,1.28197335,1.023309949,1.606019439,0.808580036,Bladder cancer,finn-b-C3_BLADDER,LHX4,"Monocyte, non-classical"
"TACSTD2_Monocyte, classical",Wald_ratio,1,0.101009737,0.047256417,NA,NA,0.032558816,NA,NA,NA,NA,NA,NA,NA,0.008387159,0.193632315,1.106287414,1.00842243,1.21364996,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TACSTD2,"Monocyte, classical"
"IREB2_Monocyte, classical",Wald_ratio,1,-0.144024556,0.054414824,NA,NA,0.008126004,NA,NA,NA,NA,NA,NA,NA,-0.25067761,-0.037371502,0.865866486,0.778273238,0.963318194,0.488903877,Bladder cancer,finn-b-C3_BLADDER,IREB2,"Monocyte, classical"
"RP11-473M20.14_T cell, CD8, naive activated",Wald_ratio,1,-0.120092545,0.047514877,NA,NA,0.011488681,NA,NA,NA,NA,NA,NA,NA,-0.213221703,-0.026963387,0.88683836,0.807976986,0.97339688,0.603337163,Bladder cancer,finn-b-C3_BLADDER,RP11-473M20.14,"T cell, CD8, naive activated"
"GSDMB_T cell, CD4, naive activated",Wald_ratio,1,0.105451317,0.0462487,NA,NA,0.022602197,NA,NA,NA,NA,NA,NA,NA,0.014803866,0.196098768,1.111212006,1.014913986,1.216647066,0.763637889,Bladder cancer,finn-b-C3_BLADDER,GSDMB,"T cell, CD4, naive activated"
"PRKG2_NK cell, CD56dim CD16+",Wald_ratio,1,-0.212259982,0.094414343,NA,NA,0.024565022,NA,NA,NA,NA,NA,NA,NA,-0.397312093,-0.02720787,0.808754409,0.672124227,0.97315893,0.793060308,Bladder cancer,finn-b-C3_BLADDER,PRKG2,"NK cell, CD56dim CD16+"
"SNHG5_T cell, CD4, naive",Wald_ratio,1,-0.08976503,0.039067776,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.166337871,-0.013192189,0.914145957,0.846760091,0.986894447,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, naive"
"SNHG5_Monocyte, classical",Wald_ratio,1,-0.078542708,0.034183567,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.145542501,-0.011542916,0.924462577,0.864553145,0.988523448,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"Monocyte, classical"
"SNHG5_T cell, CD4, TH2",Wald_ratio,1,-0.090779393,0.03950925,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.168217522,-0.013341263,0.913219152,0.845169971,0.986747337,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, TH2"
"SNHG5_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.088081002,0.038334849,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.163217306,-0.012944698,0.915686701,0.849406587,0.987138724,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, TH1 TH17"
"SNHG5_NK cell, CD56dim CD16+",Wald_ratio,1,-0.106483508,0.046344037,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.197317819,-0.015649196,0.898989875,0.820929684,0.984472617,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"NK cell, CD56dim CD16+"
"SNHG5_T cell, CD8, naive activated",Wald_ratio,1,-0.079668735,0.03467364,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.147629069,-0.011708401,0.923422193,0.862751077,0.988359875,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD8, naive activated"
"SNHG5_T cell, CD4, naive activated",Wald_ratio,1,-0.080860034,0.03519212,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.14983659,-0.011883479,0.922322776,0.860848637,0.988186851,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, naive activated"
"SNHG5_Monocyte, non-classical",Wald_ratio,1,-0.084370552,0.036719977,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.156341707,-0.012399397,0.919090622,0.85526689,0.987677159,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"Monocyte, non-classical"
"SNHG5_T cell, CD8, naive",Wald_ratio,1,-0.086913748,0.037826834,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.161054342,-0.012773154,0.916756164,0.851245812,0.987308076,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD8, naive"
"SNHG5_T cell, CD4, memory TREG",Wald_ratio,1,-0.083000836,0.036123846,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.153803574,-0.012198099,0.920350378,0.857440428,0.987875997,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, memory TREG"
"SNHG5_B cell, naive",Wald_ratio,1,-0.115721432,0.050364591,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.21443603,-0.017006834,0.890723316,0.806996434,0.983136966,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"B cell, naive"
"SNHG5_T cell, CD4, TH17",Wald_ratio,1,-0.080625945,0.035090239,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.149402813,-0.011849076,0.922538707,0.861222133,0.988220848,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, TH17"
"SNHG5_T cell, CD4, TFH",Wald_ratio,1,-0.086322635,0.037569568,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.159958988,-0.012686282,0.917298231,0.852178738,0.98739385,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, TFH"
"SNHG5_T cell, CD4, TH1",Wald_ratio,1,-0.107253855,0.046679309,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.198745301,-0.015762409,0.898297607,0.819758658,0.984361168,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, TH1"
"SNHG5_T cell, CD4, naive TREG",Wald_ratio,1,-0.092923227,0.040442295,NA,NA,0.021580327,NA,NA,NA,NA,NA,NA,NA,-0.172190125,-0.013656328,0.911263458,0.841819107,0.986436496,0.740809055,Bladder cancer,finn-b-C3_BLADDER,SNHG5,"T cell, CD4, naive TREG"
"RP11-18H21.1_NK cell, CD56dim CD16+",Wald_ratio,1,-0.117550476,0.052803422,NA,NA,0.026001426,NA,NA,NA,NA,NA,NA,NA,-0.221045183,-0.014055768,0.889095633,0.801680457,0.986042553,0.808580036,Bladder cancer,finn-b-C3_BLADDER,RP11-18H21.1,"NK cell, CD56dim CD16+"
"RP11-166O4.5_T cell, CD4, TH17",Wald_ratio,1,-0.138955166,0.049297934,NA,NA,0.004822137,NA,NA,NA,NA,NA,NA,NA,-0.235579117,-0.042331215,0.870267045,0.790113149,0.958552241,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-166O4.5,"T cell, CD4, TH17"
"WBSCR27_T cell, CD4, TH2",Wald_ratio,1,-0.13903894,0.047299801,NA,NA,0.003287159,NA,NA,NA,NA,NA,NA,NA,-0.231746549,-0.04633133,0.870194143,0.793147121,0.954725581,0.488903877,Bladder cancer,finn-b-C3_BLADDER,WBSCR27,"T cell, CD4, TH2"
"TRGV5_T cell, CD8, naive",Wald_ratio,1,-0.087691005,0.041863004,NA,NA,0.036196455,NA,NA,NA,NA,NA,NA,NA,-0.169742493,-0.005639518,0.916043886,0.843882094,0.994376354,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TRGV5,"T cell, CD8, naive"
"TRGV5_T cell, CD4, memory TREG",Wald_ratio,1,-0.090105899,0.043015855,NA,NA,0.036196455,NA,NA,NA,NA,NA,NA,NA,-0.174416975,-0.005794823,0.913834406,0.839946588,0.994221934,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TRGV5,"T cell, CD4, memory TREG"
"TRGV5_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.081511387,0.038912902,NA,NA,0.036196455,NA,NA,NA,NA,NA,NA,NA,-0.157780674,-0.005242099,0.921722214,0.854037074,0.994771617,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TRGV5,"T cell, CD4, TH1 TH17"
"RP11-166O4.5_Monocyte, classical",Wald_ratio,1,-0.16267064,0.058989288,NA,NA,0.005822203,NA,NA,NA,NA,NA,NA,NA,-0.278289644,-0.047051635,0.849871056,0.757077507,0.954038134,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RP11-166O4.5,"Monocyte, classical"
"TMPRSS3_T cell, CD4, TH1",Wald_ratio,1,0.102253449,0.048971111,NA,NA,0.036794577,NA,NA,NA,NA,NA,NA,NA,0.006270071,0.198236828,1.107664173,1.006289769,1.219251112,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TMPRSS3,"T cell, CD4, TH1"
"TMPRSS3_T cell, CD4, TFH",Wald_ratio,1,0.09319168,0.044727968,NA,NA,0.037203719,NA,NA,NA,NA,NA,NA,NA,0.005524863,0.180858497,1.097672117,1.005540153,1.198245611,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TMPRSS3,"T cell, CD4, TFH"
"SYNPO2_T cell, CD4, TH1 TH17",Wald_ratio,1,0.096571106,0.048173781,NA,NA,0.045001507,NA,NA,NA,NA,NA,NA,NA,0.002150495,0.190991717,1.101387894,1.002152809,1.210449426,0.863935095,Bladder cancer,finn-b-C3_BLADDER,SYNPO2,"T cell, CD4, TH1 TH17"
"SYNPO2_T cell, CD4, naive",Wald_ratio,1,0.079813216,0.039814231,NA,NA,0.045001507,NA,NA,NA,NA,NA,NA,NA,0.001777322,0.157849109,1.083084746,1.001778902,1.17098949,0.863935095,Bladder cancer,finn-b-C3_BLADDER,SYNPO2,"T cell, CD4, naive"
"SYNPO2_T cell, CD4, TH2",Wald_ratio,1,0.105876604,0.05281576,NA,NA,0.045001507,NA,NA,NA,NA,NA,NA,NA,0.002357715,0.209395493,1.111684691,1.002360497,1.232932518,0.863935095,Bladder cancer,finn-b-C3_BLADDER,SYNPO2,"T cell, CD4, TH2"
"SYNPO2_NK cell, CD56dim CD16+",Wald_ratio,1,0.105228864,0.052492639,NA,NA,0.045001507,NA,NA,NA,NA,NA,NA,NA,0.002343291,0.208114437,1.110964841,1.002346039,1.231354074,0.863935095,Bladder cancer,finn-b-C3_BLADDER,SYNPO2,"NK cell, CD56dim CD16+"
"SYNPO2_T cell, CD4, memory TREG",Wald_ratio,1,0.100190159,0.049979119,NA,NA,0.045001507,NA,NA,NA,NA,NA,NA,NA,0.002231086,0.198149232,1.105381097,1.002233577,1.219144316,0.863935095,Bladder cancer,finn-b-C3_BLADDER,SYNPO2,"T cell, CD4, memory TREG"
"SYNPO2_T cell, CD4, naive TREG",Wald_ratio,1,0.108903977,0.054325942,NA,NA,0.045001507,NA,NA,NA,NA,NA,NA,NA,0.00242513,0.215382824,1.115055274,1.002428073,1.240336637,0.863935095,Bladder cancer,finn-b-C3_BLADDER,SYNPO2,"T cell, CD4, naive TREG"
"LYNX1_T cell, CD8, naive",Wald_ratio,1,-0.132065729,0.042685019,NA,NA,0.001975043,NA,NA,NA,NA,NA,NA,NA,-0.215728366,-0.048403092,0.876283396,0.805954197,0.952749663,0.461882302,Bladder cancer,finn-b-C3_BLADDER,LYNX1,"T cell, CD8, naive"
"RP1-140A9.1_T cell, CD4, naive",Wald_ratio,1,-0.191211757,0.052390996,NA,NA,0.00026254,NA,NA,NA,NA,NA,NA,NA,-0.293898109,-0.088525404,0.825957668,0.745352432,0.915279858,0.321796636,Bladder cancer,finn-b-C3_BLADDER,RP1-140A9.1,"T cell, CD4, naive"
"ACVR2A_T cell, CD8, naive",Wald_ratio,1,0.1103867,0.049881856,NA,NA,0.026900199,NA,NA,NA,NA,NA,NA,NA,0.012618262,0.208155138,1.116709819,1.012698208,1.231404193,0.808580036,Bladder cancer,finn-b-C3_BLADDER,ACVR2A,"T cell, CD8, naive"
"GBP3_T cell, CD4, memory TREG",Wald_ratio,1,0.172830559,0.051818139,NA,NA,0.000851984,NA,NA,NA,NA,NA,NA,NA,0.071267007,0.274394111,1.188664679,1.073867918,1.315733245,0.321796636,Bladder cancer,finn-b-C3_BLADDER,GBP3,"T cell, CD4, memory TREG"
"HELB_T cell, CD8, naive activated",Wald_ratio,1,-0.086551232,0.043177038,NA,NA,0.045009442,NA,NA,NA,NA,NA,NA,NA,-0.171178227,-0.001924237,0.917088564,0.842671374,0.998077613,0.863935095,Bladder cancer,finn-b-C3_BLADDER,HELB,"T cell, CD8, naive activated"
"HELB_T cell, CD4, naive activated",Wald_ratio,1,-0.083026338,0.041418606,NA,NA,0.045009442,NA,NA,NA,NA,NA,NA,NA,-0.164206807,-0.00184587,0.920326907,0.848566515,0.998155832,0.863935095,Bladder cancer,finn-b-C3_BLADDER,HELB,"T cell, CD4, naive activated"
"HELB_B cell, naive",Wald_ratio,1,-0.112544889,0.056144261,NA,NA,0.045009442,NA,NA,NA,NA,NA,NA,NA,-0.222587641,-0.002502137,0.893557235,0.800444852,0.997500991,0.863935095,Bladder cancer,finn-b-C3_BLADDER,HELB,"B cell, naive"
"RMI2_T cell, CD4, naive activated",Wald_ratio,1,-0.162104366,0.052775331,NA,NA,0.002129194,NA,NA,NA,NA,NA,NA,NA,-0.265544015,-0.058664717,0.850352452,0.766788692,0.943022896,0.462698234,Bladder cancer,finn-b-C3_BLADDER,RMI2,"T cell, CD4, naive activated"
"RMI2_B cell, naive",Wald_ratio,1,-0.153010079,0.04981456,NA,NA,0.002129194,NA,NA,NA,NA,NA,NA,NA,-0.250646616,-0.055373542,0.858121073,0.778297361,0.946131662,0.462698234,Bladder cancer,finn-b-C3_BLADDER,RMI2,"B cell, naive"
"RP11-485G7.6_T cell, CD8, naive",Wald_ratio,1,-0.146952373,0.047842389,NA,NA,0.002129194,NA,NA,NA,NA,NA,NA,NA,-0.240723455,-0.05318129,0.863335095,0.786058977,0.948208096,0.462698234,Bladder cancer,finn-b-C3_BLADDER,RP11-485G7.6,"T cell, CD8, naive"
"RMI2_T cell, CD8, naive",Wald_ratio,1,-0.143572356,0.046741978,NA,NA,0.002129194,NA,NA,NA,NA,NA,NA,NA,-0.235186633,-0.05195808,0.866258119,0.790423317,0.949368663,0.462698234,Bladder cancer,finn-b-C3_BLADDER,RMI2,"T cell, CD8, naive"
"KIAA0930_T cell, CD4, memory TREG",Wald_ratio,1,-0.091241944,0.041543388,NA,NA,0.028070131,NA,NA,NA,NA,NA,NA,NA,-0.172666984,-0.009816904,0.912796839,0.841417774,0.990231125,0.808580036,Bladder cancer,finn-b-C3_BLADDER,KIAA0930,"T cell, CD4, memory TREG"
"DNA2_Monocyte, classical",Wald_ratio,1,-0.098924815,0.046273922,NA,NA,0.032532233,NA,NA,NA,NA,NA,NA,NA,-0.189621702,-0.008227928,0.905810808,0.82727203,0.991805828,0.808580036,Bladder cancer,finn-b-C3_BLADDER,DNA2,"Monocyte, classical"
"RP11-485G7.6_T cell, CD4, naive",Wald_ratio,1,-0.14515999,0.047796582,NA,NA,0.002389161,NA,NA,NA,NA,NA,NA,NA,-0.238841291,-0.051478689,0.864883909,0.787539862,0.949823891,0.462698234,Bladder cancer,finn-b-C3_BLADDER,RP11-485G7.6,"T cell, CD4, naive"
"TRMT10B_Monocyte, non-classical",Wald_ratio,1,-0.096060229,0.04635567,NA,NA,0.038242753,NA,NA,NA,NA,NA,NA,NA,-0.186917342,-0.005203116,0.908409302,0.829512299,0.994810397,0.816518235,Bladder cancer,finn-b-C3_BLADDER,TRMT10B,"Monocyte, non-classical"
"AL136985.1_Monocyte, classical",Wald_ratio,1,0.102981649,0.050647914,NA,NA,0.042023728,NA,NA,NA,NA,NA,NA,NA,0.003711737,0.202251561,1.108471067,1.003718634,1.224155919,0.84187676,Bladder cancer,finn-b-C3_BLADDER,AL136985.1,"Monocyte, classical"
"LITAF_T cell, CD4, naive activated",Wald_ratio,1,-0.103813476,0.04047309,NA,NA,0.010317581,NA,NA,NA,NA,NA,NA,NA,-0.183140732,-0.024486219,0.901393413,0.832650967,0.975811136,0.567732454,Bladder cancer,finn-b-C3_BLADDER,LITAF,"T cell, CD4, naive activated"
"SIGLEC22P_Monocyte, classical",Wald_ratio,1,0.10881165,0.052473218,NA,NA,0.038110832,NA,NA,NA,NA,NA,NA,NA,0.005964143,0.211659157,1.11495233,1.005981964,1.235726625,0.815393197,Bladder cancer,finn-b-C3_BLADDER,SIGLEC22P,"Monocyte, classical"
"CTSK_NK cell, CD56dim CD16+",Wald_ratio,1,-0.106243493,0.04876565,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.201824166,-0.010662819,0.899205672,0.817238613,0.989393828,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTSK,"NK cell, CD56dim CD16+"
"CTSK_T cell, CD4, memory TREG",Wald_ratio,1,-0.101833279,0.046741366,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.193446357,-0.0102202,0.903180119,0.824114043,0.989831848,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTSK,"T cell, CD4, memory TREG"
"CTSK_T cell, CD4, naive TREG",Wald_ratio,1,-0.10401669,0.04774355,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.197594048,-0.010439332,0.901210256,0.820702952,0.989614969,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTSK,"T cell, CD4, naive TREG"
"ARNT_NK cell, CD56dim CD16+",Wald_ratio,1,-0.119406442,0.05480743,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.226829004,-0.01198388,0.887447032,0.797057065,0.988087641,0.808580036,Bladder cancer,finn-b-C3_BLADDER,ARNT,"NK cell, CD56dim CD16+"
"ARNT_T cell, CD4, TH17",Wald_ratio,1,-0.127502871,0.058523682,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.242209288,-0.012796454,0.880290889,0.784891892,0.987285072,0.808580036,Bladder cancer,finn-b-C3_BLADDER,ARNT,"T cell, CD4, TH17"
"ARNT_T cell, CD4, naive",Wald_ratio,1,-0.120591272,0.055351266,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.229079753,-0.012102792,0.88639618,0.795265106,0.987970152,0.808580036,Bladder cancer,finn-b-C3_BLADDER,ARNT,"T cell, CD4, naive"
"CTSK_T cell, CD4, TH1",Wald_ratio,1,-0.110404908,0.050675735,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.209729349,-0.011080467,0.895471478,0.810803661,0.988980695,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTSK,"T cell, CD4, TH1"
"CTSK_T cell, CD4, TH2",Wald_ratio,1,-0.099981823,0.04589155,NA,NA,0.02935736,NA,NA,NA,NA,NA,NA,NA,-0.189929261,-0.010034384,0.904853866,0.827017634,0.990015792,0.808580036,Bladder cancer,finn-b-C3_BLADDER,CTSK,"T cell, CD4, TH2"
"RP11-685N10.1_Monocyte, classical",Wald_ratio,1,0.084291817,0.042915697,NA,NA,0.049515533,NA,NA,NA,NA,NA,NA,NA,0.000177051,0.168406582,1.087946329,1.000177067,1.18341767,0.895741748,Bladder cancer,finn-b-C3_BLADDER,RP11-685N10.1,"Monocyte, classical"
"RMI2_T cell, CD4, naive",Wald_ratio,1,-0.125079015,0.04228023,NA,NA,0.003093075,NA,NA,NA,NA,NA,NA,NA,-0.207948266,-0.042209763,0.882427175,0.812249056,0.958668666,0.488903877,Bladder cancer,finn-b-C3_BLADDER,RMI2,"T cell, CD4, naive"
"TRIM37_T cell, CD8, naive",Wald_ratio,1,0.177180386,0.058972762,NA,NA,0.002660663,NA,NA,NA,NA,NA,NA,NA,0.061593773,0.292766999,1.193846427,1.063530223,1.340130503,0.462698234,Bladder cancer,finn-b-C3_BLADDER,TRIM37,"T cell, CD8, naive"
"TRIM37_T cell, CD4, TH1 TH17",Wald_ratio,1,0.184792468,0.061506369,NA,NA,0.002660663,NA,NA,NA,NA,NA,NA,NA,0.064239985,0.305344951,1.20296876,1.066348276,1.357093053,0.462698234,Bladder cancer,finn-b-C3_BLADDER,TRIM37,"T cell, CD4, TH1 TH17"
"GSDMB_NK cell, CD56dim CD16+",Wald_ratio,1,0.07875318,0.039014506,NA,NA,0.043532818,NA,NA,NA,NA,NA,NA,NA,0.002284747,0.155221612,1.081937245,1.002287359,1.167916756,0.857310106,Bladder cancer,finn-b-C3_BLADDER,GSDMB,"NK cell, CD56dim CD16+"
"POFUT2_T cell, CD8, naive",Wald_ratio,1,0.245074908,0.093640309,NA,NA,0.008865579,NA,NA,NA,NA,NA,NA,NA,0.061539902,0.428609913,1.27771702,1.063472931,1.535122086,0.500721211,Bladder cancer,finn-b-C3_BLADDER,POFUT2,"T cell, CD8, naive"
"TFIP11_T cell, CD4, naive",Wald_ratio,1,0.119559257,0.056246987,NA,NA,0.033535601,NA,NA,NA,NA,NA,NA,NA,0.009315162,0.229803353,1.127000025,1.009358683,1.258352534,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TFIP11,"T cell, CD4, naive"
"TFIP11_T cell, CD4, memory TREG",Wald_ratio,1,0.113055379,0.05318722,NA,NA,0.033535601,NA,NA,NA,NA,NA,NA,NA,0.008808428,0.217302329,1.119693938,1.008847337,1.242719755,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TFIP11,"T cell, CD4, memory TREG"
"TFIP11_B cell, naive",Wald_ratio,1,0.120805888,0.056833469,NA,NA,0.033535601,NA,NA,NA,NA,NA,NA,NA,0.00941229,0.232199486,1.128405854,1.009456725,1.26137133,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TFIP11,"B cell, naive"
"TFIP11_T cell, CD4, TH17",Wald_ratio,1,0.116376182,0.054749501,NA,NA,0.033535601,NA,NA,NA,NA,NA,NA,NA,0.00906716,0.223685204,1.123418403,1.009108392,1.25067725,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TFIP11,"T cell, CD4, TH17"
"TFIP11_T cell, CD4, TFH",Wald_ratio,1,0.122825314,0.057783513,NA,NA,0.033535601,NA,NA,NA,NA,NA,NA,NA,0.009569628,0.236081,1.130686889,1.009615564,1.266276875,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TFIP11,"T cell, CD4, TFH"
"TFIP11_T cell, CD4, TH2",Wald_ratio,1,0.112161192,0.052766547,NA,NA,0.033535601,NA,NA,NA,NA,NA,NA,NA,0.00873876,0.215583624,1.11869317,1.008777054,1.240585721,0.808580036,Bladder cancer,finn-b-C3_BLADDER,TFIP11,"T cell, CD4, TH2"
"RPL14_T cell, CD4, memory TREG",Wald_ratio,1,0.122820132,0.058648585,NA,NA,0.036244803,NA,NA,NA,NA,NA,NA,NA,0.007868904,0.237771359,1.130681029,1.007899946,1.268419147,0.808580036,Bladder cancer,finn-b-C3_BLADDER,RPL14,"T cell, CD4, memory TREG"
"LY6G5C_T cell, CD4, TFH",Wald_ratio,1,0.096991808,0.049226433,NA,NA,0.04880175,NA,NA,NA,NA,NA,NA,NA,0.000507999,0.193475617,1.101851347,1.000508128,1.213459799,0.895741748,Bladder cancer,finn-b-C3_BLADDER,LY6G5C,"T cell, CD4, TFH"
"L3HYPDH_B cell, naive",Wald_ratio,1,0.108388315,0.050790137,NA,NA,0.032839298,NA,NA,NA,NA,NA,NA,NA,0.008839645,0.207936984,1.11448043,1.00887883,1.231135586,0.808580036,Bladder cancer,finn-b-C3_BLADDER,L3HYPDH,"B cell, naive"
"L3HYPDH_T cell, CD4, TFH",Wald_ratio,1,0.125801086,0.058949662,NA,NA,0.032839298,NA,NA,NA,NA,NA,NA,NA,0.01025975,0.241342423,1.134056566,1.010312561,1.27295685,0.808580036,Bladder cancer,finn-b-C3_BLADDER,L3HYPDH,"T cell, CD4, TFH"
"L3HYPDH_T cell, CD4, TH1",Wald_ratio,1,0.119116856,0.05581747,NA,NA,0.032839298,NA,NA,NA,NA,NA,NA,NA,0.009714615,0.228519097,1.126501549,1.009761955,1.256737524,0.808580036,Bladder cancer,finn-b-C3_BLADDER,L3HYPDH,"T cell, CD4, TH1"
"L3HYPDH_T cell, CD4, TH17",Wald_ratio,1,0.105166975,0.049280636,NA,NA,0.032839298,NA,NA,NA,NA,NA,NA,NA,0.008576928,0.201757022,1.110896087,1.008613815,1.223550676,0.808580036,Bladder cancer,finn-b-C3_BLADDER,L3HYPDH,"T cell, CD4, TH17"
"L3HYPDH_T cell, CD4, memory TREG",Wald_ratio,1,0.114267253,0.053544974,NA,NA,0.032839298,NA,NA,NA,NA,NA,NA,NA,0.009319104,0.219215402,1.121051689,1.009362662,1.245099445,0.808580036,Bladder cancer,finn-b-C3_BLADDER,L3HYPDH,"T cell, CD4, memory TREG"
